,results,parameters.fixture,paging.current,paging.total,home_team.id,home_team.name,home_team.logo,home_team_Shots on Goal,home_team_Shots off Goal,home_team_Total Shots,home_team_Blocked Shots,home_team_Shots insidebox,home_team_Shots outsidebox,home_team_Fouls,home_team_Corner Kicks,home_team_Offsides,home_team_Ball Possession,home_team_Yellow Cards,home_team_Red Cards,home_team_Goalkeeper Saves,home_team_Total passes,home_team_Passes accurate,home_team_Passes %,away_team.id,away_team.name,away_team.logo,away_team_Shots on Goal,away_team_Shots off Goal,away_team_Total Shots,away_team_Blocked Shots,away_team_Shots insidebox,away_team_Shots outsidebox,away_team_Fouls,away_team_Corner Kicks,away_team_Offsides,away_team_Ball Possession,away_team_Yellow Cards,away_team_Red Cards,away_team_Goalkeeper Saves,away_team_Total passes,away_team_Passes accurate,away_team_Passes %
42,2,135803,1,1,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,12.0,8.0,23.0,3.0,15.0,8.0,12.0,5.0,3.0,49%,,,3.0,445.0,374.0,84%,28.0,Tunisia,https://media.api-sports.io/football/teams/28.png,5.0,8.0,16.0,3.0,5.0,11.0,13.0,2.0,3.0,51%,1.0,,6.0,452.0,367.0,81%
43,2,135804,1,1,17.0,South Korea,https://media.api-sports.io/football/teams/17.png,6.0,2.0,17.0,9.0,6.0,11.0,24.0,7.0,,41%,4.0,,3.0,344.0,279.0,81%,16.0,Mexico,https://media.api-sports.io/football/teams/16.png,5.0,7.0,13.0,1.0,7.0,6.0,7.0,5.0,,59%,,,5.0,476.0,415.0,87%
44,2,135805,1,1,25.0,Germany,https://media.api-sports.io/football/teams/25.png,6.0,5.0,18.0,7.0,11.0,7.0,12.0,8.0,5.0,75%,2.0,1.0,4.0,676.0,600.0,89%,5.0,Sweden,https://media.api-sports.io/football/teams/5.png,5.0,1.0,7.0,1.0,6.0,1.0,13.0,3.0,2.0,25%,2.0,,4.0,222.0,154.0,69%
45,2,135806,1,1,10.0,England,https://media.api-sports.io/football/teams/10.png,7.0,2.0,11.0,2.0,7.0,4.0,13.0,3.0,3.0,59%,1.0,,1.0,594.0,547.0,92%,11.0,Panama,https://media.api-sports.io/football/teams/11.png,2.0,5.0,8.0,1.0,4.0,4.0,13.0,2.0,,41%,3.0,,1.0,393.0,348.0,89%
46,2,135807,1,1,12.0,Japan,https://media.api-sports.io/football/teams/12.png,3.0,2.0,7.0,2.0,5.0,2.0,8.0,2.0,2.0,56%,2.0,,5.0,462.0,369.0,80%,13.0,Senegal,https://media.api-sports.io/football/teams/13.png,7.0,5.0,15.0,3.0,11.0,4.0,15.0,5.0,4.0,44%,3.0,,1.0,339.0,257.0,76%
47,2,135808,1,1,24.0,Poland,https://media.api-sports.io/football/teams/24.png,2.0,2.0,9.0,5.0,6.0,3.0,15.0,7.0,1.0,45%,2.0,,,421.0,321.0,76%,8.0,Colombia,https://media.api-sports.io/football/teams/8.png,4.0,5.0,13.0,4.0,5.0,8.0,10.0,5.0,1.0,55%,,,2.0,505.0,420.0,83%
48,2,135809,1,1,7.0,Uruguay,https://media.api-sports.io/football/teams/7.png,6.0,6.0,16.0,4.0,8.0,9.0,17.0,4.0,,57%,1.0,,1.0,492.0,415.0,84%,4.0,Russia,https://media.api-sports.io/football/teams/4.png,1.0,1.0,3.0,1.0,2.0,1.0,18.0,2.0,2.0,43%,3.0,1.0,4.0,356.0,281.0,79%
49,2,135810,1,1,23.0,Saudi Arabia,https://media.api-sports.io/football/teams/23.png,8.0,10.0,23.0,5.0,11.0,12.0,7.0,7.0,1.0,64%,,,,647.0,582.0,90%,32.0,Egypt,https://media.api-sports.io/football/teams/32.png,1.0,5.0,7.0,1.0,3.0,4.0,16.0,2.0,3.0,36%,2.0,,6.0,362.0,289.0,80%
50,2,135811,1,1,22.0,Iran,https://media.api-sports.io/football/teams/22.png,2.0,4.0,7.0,1.0,3.0,4.0,16.0,1.0,1.0,26%,2.0,,3.0,213.0,139.0,65%,27.0,Portugal,https://media.api-sports.io/football/teams/27.png,4.0,7.0,14.0,3.0,5.0,9.0,11.0,5.0,1.0,74%,4.0,,1.0,608.0,528.0,87%
51,2,135812,1,1,9.0,Spain,https://media.api-sports.io/football/teams/9.png,5.0,12.0,18.0,1.0,13.0,5.0,5.0,7.0,1.0,74%,,,1.0,742.0,678.0,91%,31.0,Morocco,https://media.api-sports.io/football/teams/31.png,3.0,2.0,6.0,1.0,4.0,2.0,17.0,1.0,1.0,26%,6.0,,2.0,245.0,189.0,77%
52,2,135813,1,1,21.0,Denmark,https://media.api-sports.io/football/teams/21.png,2.0,1.0,5.0,2.0,1.0,4.0,10.0,4.0,1.0,32%,1.0,,3.0,322.0,228.0,71%,2.0,France,https://media.api-sports.io/football/teams/2.png,3.0,7.0,11.0,1.0,4.0,7.0,10.0,2.0,1.0,68%,,,2.0,657.0,574.0,87%
53,2,135814,1,1,20.0,Australia,https://media.api-sports.io/football/teams/20.png,2.0,7.0,14.0,5.0,9.0,5.0,14.0,8.0,3.0,57%,4.0,,1.0,526.0,459.0,87%,30.0,Peru,https://media.api-sports.io/football/teams/30.png,3.0,1.0,4.0,,3.0,1.0,12.0,3.0,1.0,43%,2.0,,2.0,409.0,329.0,80%
54,2,135815,1,1,19.0,Nigeria,https://media.api-sports.io/football/teams/19.png,3.0,5.0,9.0,1.0,4.0,5.0,20.0,3.0,,33%,2.0,,2.0,283.0,186.0,66%,26.0,Argentina,https://media.api-sports.io/football/teams/26.png,4.0,2.0,8.0,2.0,7.0,1.0,15.0,5.0,2.0,67%,3.0,,2.0,572.0,471.0,82%
55,2,135816,1,1,18.0,Iceland,https://media.api-sports.io/football/teams/18.png,6.0,8.0,16.0,2.0,12.0,4.0,10.0,10.0,1.0,38%,3.0,,,314.0,226.0,72%,3.0,Croatia,https://media.api-sports.io/football/teams/3.png,2.0,8.0,14.0,4.0,4.0,10.0,11.0,5.0,2.0,62%,2.0,,5.0,518.0,447.0,86%
56,2,135817,1,1,17.0,South Korea,https://media.api-sports.io/football/teams/17.png,5.0,5.0,12.0,2.0,4.0,8.0,16.0,3.0,,26%,4.0,,6.0,248.0,174.0,70%,25.0,Germany,https://media.api-sports.io/football/teams/25.png,6.0,13.0,28.0,9.0,20.0,8.0,7.0,9.0,1.0,74%,,,3.0,698.0,625.0,90%
57,2,135818,1,1,16.0,Mexico,https://media.api-sports.io/football/teams/16.png,3.0,8.0,20.0,9.0,10.0,10.0,14.0,7.0,2.0,66%,3.0,,3.0,472.0,389.0,82%,5.0,Sweden,https://media.api-sports.io/football/teams/5.png,5.0,9.0,15.0,1.0,13.0,3.0,11.0,3.0,,34%,2.0,,3.0,241.0,147.0,61%
58,2,135819,1,1,14.0,Serbia,https://media.api-sports.io/football/teams/14.png,2.0,5.0,10.0,3.0,6.0,4.0,13.0,5.0,2.0,42%,3.0,,4.0,442.0,351.0,79%,6.0,Brazil,https://media.api-sports.io/football/teams/6.png,6.0,3.0,14.0,5.0,10.0,4.0,7.0,9.0,4.0,58%,,,1.0,632.0,543.0,86%
59,2,135820,1,1,15.0,Switzerland,https://media.api-sports.io/football/teams/15.png,3.0,6.0,13.0,4.0,8.0,5.0,9.0,6.0,1.0,62%,3.0,,5.0,565.0,489.0,87%,29.0,Costa Rica,https://media.api-sports.io/football/teams/29.png,6.0,6.0,14.0,2.0,9.0,6.0,14.0,5.0,1.0,38%,3.0,,1.0,341.0,268.0,79%
60,2,135821,1,1,12.0,Japan,https://media.api-sports.io/football/teams/12.png,3.0,4.0,10.0,3.0,7.0,3.0,11.0,5.0,1.0,54%,1.0,,2.0,541.0,470.0,87%,24.0,Poland,https://media.api-sports.io/football/teams/24.png,2.0,5.0,11.0,4.0,7.0,4.0,8.0,7.0,,46%,,,3.0,457.0,382.0,84%
61,2,135822,1,1,13.0,Senegal,https://media.api-sports.io/football/teams/13.png,3.0,4.0,7.0,,4.0,3.0,15.0,1.0,3.0,40%,1.0,,1.0,303.0,223.0,74%,8.0,Colombia,https://media.api-sports.io/football/teams/8.png,2.0,1.0,4.0,1.0,3.0,1.0,15.0,3.0,3.0,60%,1.0,,4.0,432.0,352.0,81%
62,2,135823,1,1,10.0,England,https://media.api-sports.io/football/teams/10.png,2.0,6.0,11.0,3.0,6.0,5.0,11.0,7.0,3.0,46%,,,2.0,467.0,410.0,88%,1.0,Belgium,https://media.api-sports.io/football/teams/1.png,4.0,3.0,14.0,7.0,9.0,5.0,14.0,2.0,1.0,54%,2.0,,1.0,547.0,477.0,87%
63,2,135824,1,1,11.0,Panama,https://media.api-sports.io/football/teams/11.png,4.0,4.0,9.0,1.0,6.0,4.0,18.0,,4.0,30%,3.0,,4.0,277.0,206.0,74%,28.0,Tunisia,https://media.api-sports.io/football/teams/28.png,6.0,5.0,14.0,3.0,11.0,3.0,19.0,6.0,1.0,70%,3.0,,4.0,618.0,530.0,86%
64,0,208313,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,208314,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,208315,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,208316,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,208317,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,208318,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,208319,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,208320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,208321,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,208322,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,208323,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,208324,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,208325,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,208326,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,208327,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,208328,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,208329,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,208330,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,208331,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,208332,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,208333,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,208334,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,208335,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,208336,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,208337,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,208338,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,208339,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,208340,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,208341,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,208342,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
